, 4, 0
remove_on_index, 3, 0
remove_end, 3, 0
remove_end, 2, 0
remove_end, 1, 0
remove_end, 1, 0
remove_end, 3, 0
add_on_index, 29, 1
set_=, 52, 1
set_[], 3, 1
add_end, 9, 2
remove_on_index, 44, 1
set_[], 6, 1
getIndexOf, 3, 1
set_=, 40, 1
set_=, 50, 1
remove_on_index, 83, 0
remove_on_index, 3, 0
remove_on_index, 0, 0
remove_on_index, 0, 0
remove_on_index, 1, 0
add_on_index, 75, 1
remove_begin, 66, 0
remove_begin, 6, 0
remove_begin, 1, 0
remove_begin, 0, 0
remove_on_index, 2, 0
remove_on_index, 1, 0
remove_on_index, 1, 0
remove_on_index, 0, 0
remove_on_index, 0, 0
remove_on_index, 0, 0
remove_on_index, 2, 0
remove_on_index, 0, 0
remove_on_index, 5, 0
remove_on_index, 1, 0
remove_end, 7, 0
remove_end, 1, 0
remove_end, 1, 0
remove_on_index, 3, 0
add_begin, 67, 1
set_=, 43, 1
add_begin, 53, 2
add_on_index, 39, 3
remove_end, 49, 2
set_=, 48, 2
set_[], 3, 2
add_end, 13, 3
set_[], 4, 3
add_begin, 29, 4
add_begin, 32, 5
remove_end, 43, 4
getIndexOf, 3, 4
set_=, 38, 4
set_=, 39, 4
remove_begin, 28, 3
getIndexOf, 3, 3
set_=, 38, 3
set_[], 2, 3
set_[], 2, 3
remove_on_index, 45, 2
set_=, 102, 2
set_[], 3, 2
set_[], 5, 2
remove_begin, 43, 1
getIndexOf, 4, 1
getIndexOf, 3, 1
set_[], 2, 1
set_=, 54, 1
getIndexOf, 3, 1
remove_end, 32, 0
remove_end, 0, 0
remove_end, 1, 0
remove_end, 4, 0
add_on_index, 39, 1
set_[], 3, 1
add_end, 9, 2
set_[], 3, 2
set_=, 54, 2
remove_begin, 29, 1
add_on_index, 32, 2
remove_on_index, 61, 1
set_[], 2, 1
set_[], 2, 1
add_begin, 29, 2
add_begin, 28, 3
set_=, 37, 3
remove_on_index, 44, 2
getIndexOf, 3, 2
set_=, 38, 2
remove_on_index, 55, 1
getIndexOf, 3, 1
remove_end, 30, 0
remove_begin, 2, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 2, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 0, 0
remove_begin, 2, 0
remove_on_index, 3, 0
remove_on_index, 0, 0
remove_on_index, 2, 0
add_end, 6, 1
set_=, 37, 1
set_[], 2, 1
add_begin, 28, 2
remove_begin, 28, 1
getIndexOf, 3, 1
set_=, 38, 1
remove_end, 28, 0
remove_end, 6, 0
remove_end, 1, 0
remove_end, 1, 0
add_begin, 28, 1
set_=, 37, 1
set_=, 39, 1
remove_end, 28, 0
remove_end, 4, 0
add_end, 10, 1
set_=, 59, 1
remove_on_index, 35, 0
remove_on_index, 0, 0
add_begin, 29, 1
set_[], 2, 1
set_[], 2, 1
remove_on_index, 35, 0
remove_on_index, 0, 0
remove_on_index, 0, 0
add_end, 7, 1
set_=, 39, 1
add_end, 6, 2
remove_on_index, 44, 1
remove_end, 28, 0
remove_end, 0, 0
remove_begin, 3, 0
remove_begin, 0, 0
add_on_index, 31, 1
remove_begin, 29, 0
remove_on_index, 3, 0
