100, 51993, 10000
200, 104240, 20000
300, 188013, 30000
400, 190764, 40000
500, 226886, 50000
600, 375703, 60000
700, 310904, 70000
800, 393478, 80000
900, 421830, 90000
1000, 488132, 100000
1100, 529844, 110000
1200, 733610, 120000
1300, 585075, 130000
1400, 624296, 140000
1500, 689673, 150000
1600, 722486, 160000
1700, 760766, 170000
1800, 794777, 180000
1900, 829734, 190000
2000, 893236, 200000
100, 87482, 20000
200, 182072, 40000
300, 270177, 60000
400, 375091, 80000
500, 445748, 100000
600, 527602, 120000
700, 616270, 140000
800, 696596, 160000
900, 784782, 180000
1000, 864783, 200000
1100, 982259, 220000
1200, 1054993, 240000
1300, 1157677, 260000
1400, 1212870, 280000
1500, 1308966, 300000
1600, 1392256, 320000
1700, 1559127, 340000
1800, 1612299, 360000
1900, 1650870, 380000
2000, 1727439, 400000
100, 147816, 30000
200, 261588, 60000
300, 393273, 90000
400, 619722, 120000
500, 655375, 150000
600, 803987, 180000
700, 930928, 210000
800, 1048001, 240000
900, 1200349, 270000
1000, 1385505, 300000
1100, 1436197, 330000
1200, 1564633, 360000
1300, 1704674, 390000
1400, 1832010, 420000
1500, 1949299, 450000
1600, 2068422, 480000
1700, 2199278, 510000
1800, 2341337, 540000
1900, 2534967, 570000
2000, 2591210, 600000
100, 174501, 40000
200, 349602, 80000
300, 535787, 120000
400, 761441, 160000
500, 1207829, 200000
600, 1191440, 240000
700, 1224981, 280000
800, 1384093, 320000
900, 1558484, 360000
1000, 1738423, 400000
1100, 1915324, 440000
1200, 2075190, 480000
1300, 2271596, 520000
1400, 2429191, 560000
1500, 2876504, 600000
1600, 2771321, 640000
1700, 2978912, 680000
1800, 3173514, 720000
1900, 3290531, 760000
2000, 3473052, 800000
100, 225804, 50000
200, 434178, 100000
300, 661148, 150000
400, 889912, 200000
500, 1131225, 250000
600, 1314631, 300000
700, 1529735, 350000
800, 1732231, 400000
900, 1951201, 450000
1000, 2166007, 500000
1100, 2376128, 550000
1200, 2599294, 600000
1300, 2809500, 650000
1400, 3026911, 700000
1500, 3255060, 750000
1600, 3460346, 800000
1700, 3774786, 850000
1800, 3891652, 900000
1900, 4092798, 950000
2000, 4325639, 1000000
100, 348680, 60000
200, 526464, 120000
300, 781132, 180000
400, 1061323, 240000
500, 1304358, 300000
600, 1636704, 360000
700, 1976699, 420000
800, 2340963, 480000
900, 2364139, 540000
1000, 2610420, 600000
1100, 2970002, 660000
1200, 3143004, 720000
1300, 3499597, 780000
1400, 3652344, 840000
1500, 3944674, 900000
1600, 4165463, 960000
1700, 4402836, 1020000
1800, 4665877, 1080000
1900, 4920989, 1140000
2000, 5221365, 1200000
100, 307613, 70000
200, 631866, 140000
300, 913527, 210000
400, 1217463, 280000
500, 1537704, 350000
600, 1891950, 420000
700, 2122880, 490000
800, 2432160, 560000
900, 2715668, 630000
1000, 3014010, 700000
1100, 3326259, 770000
1200, 3639858, 840000
1300, 3937289, 910000
1400, 4235068, 980000
1500, 4555905, 1050000
1600, 4858190, 1120000
1700, 5616617, 1190000
1800, 5451643, 1260000
1900, 5743032, 1330000
2000, 6059377, 1400000
100, 347044, 80000
200, 1420451, 160000
300, 1058508, 240000
400, 1408161, 320000
500, 1742926, 400000
600, 2081271, 480000
700, 2416409, 560000
800, 2766516, 640000
900, 3112656, 720000
1000, 3466614, 800000
1100, 3814912, 880000
1200, 4143042, 960000
1300, 4487351, 1040000
1400, 4851607, 1120000
1500, 5193188, 1200000
1600, 5575170, 1280000
1700, 5877198, 1360000
1800, 6232145, 1440000
1900, 6749119, 1520000
2000, 6905610, 1600000
100, 397320, 90000
200, 777823, 180000
300, 1182920, 270000
400, 1562787, 360000
500, 1943369, 450000
600, 2338735, 540000
700, 2723077, 630000
800, 3108574, 720000
900, 3494255, 810000
1000, 3881334, 900000
1100, 4293967, 990000
1200, 4690128, 1080000
1300, 5045956, 1170000
1400, 5433283, 1260000
1500, 5815015, 1350000
1600, 6274974, 1440000
1700, 6555573, 1530000
1800, 6957431, 1620000
1900, 7369959, 1710000
2000, 7730447, 1800000
100, 426766, 100000
200, 877186, 200000
300, 1296446, 300000
400, 1727249, 400000
500, 2154778, 500000
600, 2577737, 600000
700, 3006985, 700000
800, 3432530, 800000
900, 3859751, 900000
1000, 4303900, 1000000
1100, 4751582, 1100000
1200, 5159758, 1200000
1300, 5589171, 1300000
1400, 6000831, 1400000
1500, 6458469, 1500000
1600, 6870934, 1600000
1700, 7307344, 1700000
1800, 7794127, 1800000
1900, 8152768, 1900000
2000, 8586284, 2000000
100, 470452, 110000
200, 938976, 220000
300, 1432632, 330000
400, 1889306, 440000
500, 2353818, 550000
600, 2840071, 660000
700, 3300259, 770000
800, 3783756, 880000
900, 4257585, 990000
1000, 4723158, 1100000
1100, 5215454, 1210000
1200, 5667783, 1320000
1300, 6144368, 1430000
1400, 6621537, 1540000
1500, 7082979, 1650000
1600, 7560894, 1760000
1700, 8007882, 1870000
1800, 8493139, 1980000
1900, 8964902, 2090000
2000, 9450589, 2200000
100, 523870, 120000
200, 1036828, 240000
300, 1662048, 360000
400, 2157782, 480000
500, 2590304, 600000
600, 3090441, 720000
700, 3989769, 840000
800, 4149888, 960000
900, 4648873, 1080000
1000, 5148876, 1200000
1100, 5659479, 1320000
1200, 6176993, 1440000
1300, 6705760, 1560000
1400, 7230658, 1680000
1500, 7730237, 1800000
1600, 8241979, 1920000
1700, 8770592, 2040000
1800, 9279074, 2160000
1900, 9823283, 2280000
2000, 10378240, 2400000
100, 564527, 130000
200, 1140119, 260000
300, 1670751, 390000
400, 2211739, 520000
500, 2770018, 650000
600, 3310691, 780000
700, 3868865, 910000
800, 4422683, 1040000
900, 4981546, 1170000
1000, 5540500, 1300000
1100, 6090032, 1430000
1200, 6631709, 1560000
1300, 7200363, 1690000
1400, 7748472, 1820000
1500, 8304188, 1950000
1600, 8865539, 2080000
1700, 9423956, 2210000
1800, 9960450, 2340000
1900, 10538604, 2470000
2000, 11051207, 2600000
100, 599502, 140000
200, 1187158, 280000
300, 1787423, 420000
400, 2392094, 560000
500, 2972648, 700000
600, 3577885, 840000
700, 4166070, 980000
800, 4781251, 1120000
900, 5352980, 1260000
1000, 5955281, 1400000
1100, 6556797, 1540000
1200, 7416830, 1680000
1300, 7904583, 1820000
1400, 8383690, 1960000
1500, 8938972, 2100000
1600, 9546874, 2240000
1700, 10135707, 2380000
1800, 10718151, 2520000
1900, 11309179, 2660000
2000, 12085500, 2800000
100, 640214, 150000
200, 1286605, 300000
300, 1924981, 450000
400, 2564212, 600000
500, 3205297, 750000
600, 3830441, 900000
700, 4458629, 1050000
800, 5107255, 1200000
900, 5745737, 1350000
1000, 6388521, 1500000
1100, 7016766, 1650000
1200, 7660780, 1800000
1300, 8302121, 1950000
1400, 8931356, 2100000
1500, 9572714, 2250000
1600, 10210256, 2400000
1700, 10841224, 2550000
1800, 11472773, 2700000
1900, 12308706, 2850000
2000, 12799953, 3000000
100, 685545, 160000
200, 1371526, 320000
300, 2081702, 480000
400, 2726726, 640000
500, 3403034, 800000
600, 4076121, 960000
700, 4758090, 1120000
800, 5434103, 1280000
900, 6117314, 1440000
1000, 6824669, 1600000
1100, 7491865, 1760000
1200, 8172822, 1920000
1300, 8853702, 2080000
1400, 9577014, 2240000
1500, 10198527, 2400000
1600, 10883511, 2560000
1700, 11565341, 2720000
1800, 12244285, 2880000
1900, 12968016, 3040000
2000, 13620930, 3200000
100, 721875, 170000
200, 1451042, 340000
300, 2182181, 510000
400, 2893706, 680000
500, 3611312, 850000
600, 4327548, 1020000
700, 5056883, 1190000
800, 5781012, 1360000
900, 6503129, 1530000
1000, 7254672, 1700000
1100, 7942347, 1870000
1200, 8668219, 2040000
1300, 9408564, 2210000
1400, 10112973, 2380000
1500, 10849570, 2550000
1600, 11568056, 2720000
1700, 12279510, 2890000
1800, 13029845, 3060000
1900, 13731642, 3230000
2000, 14460106, 3400000
100, 764759, 180000
200, 1536441, 360000
300, 2304720, 540000
400, 3072203, 720000
500, 3837371, 900000
600, 4592609, 1080000
700, 5351942, 1260000
800, 6112811, 1440000
900, 6894595, 1620000
1000, 7656862, 1800000
1100, 8440092, 1980000
1200, 9198484, 2160000
1300, 9952844, 2340000
1400, 10715754, 2520000
1500, 11483850, 2700000
1600, 12281121, 2880000
