100, 49862, 10000
200, 91106, 20000
300, 135369, 30000
400, 161445, 40000
500, 227882, 50000
600, 342867, 60000
700, 315708, 70000
800, 377858, 80000
900, 390169, 90000
1000, 428306, 100000
1100, 472473, 110000
1200, 527911, 120000
1300, 554634, 130000
1400, 601904, 140000
1500, 640316, 150000
1600, 697476, 160000
1700, 729814, 170000
1800, 752849, 180000
1900, 795973, 190000
2000, 838714, 200000
100, 92512, 20000
200, 168787, 40000
300, 260903, 60000
400, 352601, 80000
500, 417875, 100000
600, 500178, 120000
700, 583984, 140000
800, 672529, 160000
900, 749096, 180000
1000, 841295, 200000
1100, 929421, 220000
1200, 1026411, 240000
1300, 1089706, 260000
1400, 1176087, 280000
1500, 1258163, 300000
1600, 1363125, 320000
1700, 1433943, 340000
1800, 1494998, 360000
1900, 1592028, 380000
2000, 1680957, 400000
100, 141089, 30000
200, 249778, 60000
300, 411529, 90000
400, 500994, 120000
500, 628811, 150000
600, 764019, 180000
700, 886985, 210000
800, 1011539, 240000
900, 1134792, 270000
1000, 1261173, 300000
1100, 1376079, 330000
1200, 1511325, 360000
1300, 1636584, 390000
1400, 1761978, 420000
1500, 1888782, 450000
1600, 2015801, 480000
1700, 2144175, 510000
1800, 2269604, 540000
1900, 2628504, 570000
2000, 2513680, 600000
100, 167188, 40000
200, 339021, 80000
300, 503479, 120000
400, 685482, 160000
500, 838377, 200000
600, 1010067, 240000
700, 1171483, 280000
800, 1347396, 320000
900, 1510808, 360000
1000, 1696522, 400000
1100, 1843721, 440000
1200, 2026785, 480000
1300, 2175273, 520000
1400, 2363621, 560000
1500, 2539075, 600000
1600, 2686134, 640000
1700, 2854756, 680000
1800, 3018664, 720000
1900, 3185645, 760000
2000, 3345915, 800000
100, 218135, 50000
200, 422777, 100000
300, 627326, 150000
400, 843852, 200000
500, 1055158, 250000
600, 1262488, 300000
700, 1464688, 350000
800, 1679580, 400000
900, 1894392, 450000
1000, 2089211, 500000
1100, 2307604, 550000
1200, 2519119, 600000
1300, 2738143, 650000
1400, 2933555, 700000
1500, 3148631, 750000
1600, 3353974, 800000
1700, 3554560, 850000
1800, 3827800, 900000
1900, 4041814, 950000
2000, 4207450, 1000000
100, 251526, 60000
200, 526974, 120000
300, 775087, 180000
400, 1013307, 240000
500, 1253399, 300000
600, 1508415, 360000
700, 1756326, 420000
800, 2009591, 480000
900, 2261847, 540000
1000, 2511444, 600000
