, 0, 0
remove_begin, 2200, 0
remove_begin, 2200, 0
add_on_index, 35300, 1
remove_on_index, 29800, 0
remove_on_index, 29800, 0
remove_on_index, 29800, 0
remove_on_index, 29800, 0
remove_on_index, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
add_begin, 37700, 1
set_[], 1100, 1
set_[], 800, 1
set_[], 600, 1
add_begin, 156300, 2
set_[], 700, 2
set_[], 800, 2
set_=, 49200, 2
remove_begin, 149000, 1
set_[], 1100, 1
set_=, 45900, 1
getIndexOf, 30600, 1
remove_end, 29400, 0
remove_begin, 700, 0
remove_end, 700, 0
remove_end, 700, 0
remove_end, 700, 0
add_end, 30600, 1
getIndexOf, 33100, 1
remove_on_index, 31100, 0
remove_on_index, 31100, 0
remove_on_index, 31100, 0
remove_on_index, 31100, 0
remove_begin, 1300, 0
remove_end, 1300, 0
remove_end, 1300, 0
remove_end, 1300, 0
remove_end, 1300, 0
remove_end, 1300, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_on_index, 1000, 0
remove_on_index, 700, 0
remove_begin, 900, 0
remove_begin, 900, 0
add_begin, 31800, 1
set_=, 43100, 1
set_[], 500, 1
add_end, 29400, 2
remove_on_index, 29800, 1
set_=, 41000, 1
set_=, 40000, 1
add_begin, 149100, 2
set_[], 600, 2
remove_on_index, 31100, 1
set_=, 40900, 1
set_[], 700, 1
set_[], 600, 1
remove_begin, 29300, 0
remove_begin, 29300, 0
remove_begin, 29300, 0
remove_begin, 29300, 0
remove_begin, 29300, 0
remove_end, 900, 0
add_begin, 29400, 1
set_=, 40000, 1
add_end, 29100, 2
set_[], 600, 2
remove_on_index, 29400, 1
remove_begin, 28400, 0
remove_begin, 28400, 0
remove_begin, 28400, 0
remove_on_index, 900, 0
remove_on_index, 900, 0
remove_on_index, 900, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 2000, 0
remove_end, 2000, 0
remove_begin, 800, 0
remove_begin, 800, 0
remove_on_index, 800, 0
remove_on_index, 800, 0
remove_on_index, 800, 0
remove_on_index, 800, 0
remove_on_index, 800, 0
remove_on_index, 800, 0
remove_end, 1400, 0
remove_end, 1400, 0
remove_end, 1400, 0
remove_end, 1400, 0
remove_begin, 1600, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_begin, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_end, 1200, 0
remove_on_index, 1200, 0
remove_on_index, 1200, 0
remove_on_index, 1200, 0
remove_on_index, 1200, 0
remove_on_index, 1500, 0
add_end, 37400, 1
set_[], 800, 1
set_=, 47300, 1
