, 0, 0
add_end, 9600, 1
set_[], 500, 1
getIndexOf, 1100, 1
set_[], 600, 1
set_[], 600, 1
set_=, 31200, 1
set_=, 30400, 1
set_=, 27600, 1
add_end, 2800, 2
remove_begin, 22200, 1
set_=, 29300, 1
set_=, 28200, 1
set_[], 600, 1
set_=, 27900, 1
set_[], 500, 1
set_[], 500, 1
remove_begin, 17200, 0
remove_begin, 17200, 0
remove_begin, 600, 0
remove_begin, 600, 0
remove_begin, 600, 0
add_end, 3900, 1
set_[], 600, 1
set_=, 30000, 1
set_[], 700, 1
set_[], 600, 1
set_=, 28500, 1
remove_end, 17400, 0
remove_begin, 600, 0
remove_begin, 600, 0
remove_begin, 600, 0
remove_end, 1000, 0
add_end, 3300, 1
set_=, 30100, 1
set_[], 600, 1
remove_end, 17600, 0
add_end, 2300, 1
getIndexOf, 1100, 1
add_on_index, 26500, 2
set_=, 31100, 2
set_[], 600, 2
getIndexOf, 1100, 2
set_=, 744600, 2
set_=, 31100, 2
getIndexOf, 1400, 2
remove_begin, 20000, 1
set_=, 32100, 1
set_[], 500, 1
add_on_index, 19300, 2
add_begin, 18300, 3
set_[], 500, 3
add_on_index, 20800, 4
remove_on_index, 31300, 3
remove_begin, 21700, 2
set_[], 700, 2
set_=, 31700, 2
set_=, 32400, 2
set_[], 700, 2
set_[], 500, 2
getIndexOf, 1200, 2
set_[], 600, 2
set_=, 28900, 2
set_=, 27700, 2
set_[], 600, 2
add_end, 2900, 3
remove_begin, 18400, 2
set_[], 600, 2
getIndexOf, 1200, 2
add_on_index, 20400, 3
set_[], 500, 3
set_=, 29900, 3
remove_on_index, 19200, 2
remove_on_index, 30000, 1
remove_on_index, 19000, 0
remove_on_index, 19000, 0
remove_on_index, 19000, 0
remove_begin, 1000, 0
remove_begin, 1000, 0
remove_begin, 1000, 0
remove_begin, 1000, 0
remove_begin, 800, 0
remove_begin, 800, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
remove_end, 1000, 0
add_on_index, 20600, 1
set_[], 500, 1
getIndexOf, 1600, 1
remove_begin, 20600, 0
remove_begin, 800, 0
