, 500, 0
remove_end, 1200, 0
remove_end, 700, 0
remove_end, 400, 0
remove_end, 400, 0
remove_end, 600, 0
remove_end, 600, 0
remove_end, 400, 0
remove_end, 600, 0
remove_end, 400, 0
remove_end, 600, 0
remove_end, 400, 0
remove_end, 400, 0
remove_begin, 900, 0
add_on_index, 3100, 1
set_=, 3300, 1
add_begin, 2500, 2
set_[], 800, 2
set_[], 600, 2
set_=, 3000, 2
add_begin, 2500, 3
set_=, 2900, 3
set_=, 3300, 3
set_=, 2800, 3
set_=, 2800, 3
set_=, 4500, 3
add_begin, 2700, 4
getIndexOf, 500, 4
add_on_index, 2300, 5
getIndexOf, 500, 5
add_on_index, 2400, 6
set_=, 2300, 6
set_=, 2000, 6
add_on_index, 3500, 7
set_[], 600, 7
add_begin, 2500, 8
set_=, 2800, 8
set_[], 500, 8
set_=, 2200, 8
set_[], 1200, 8
set_[], 1100, 8
add_on_index, 2900, 9
set_[], 400, 9
getIndexOf, 800, 9
remove_begin, 3600, 8
set_[], 500, 8
add_begin, 3800, 9
set_=, 2400, 9
remove_begin, 2000, 8
remove_begin, 2800, 7
set_[], 400, 7
set_=, 2000, 7
add_begin, 1700, 8
set_=, 1800, 8
set_=, 1800, 8
remove_on_index, 8400, 7
remove_end, 2500, 6
add_on_index, 3000, 7
remove_end, 2300, 6
remove_begin, 1800, 5
set_=, 2300, 5
set_=, 2100, 5
add_begin, 1800, 6
remove_on_index, 6300, 5
set_=, 2000, 5
set_=, 2000, 5
set_=, 1900, 5
set_=, 2000, 5
set_=, 2100, 5
getIndexOf, 600, 5
remove_on_index, 6900, 4
set_[], 500, 4
set_=, 2000, 4
add_end, 1100, 5
set_=, 1900, 5
set_=, 1800, 5
getIndexOf, 500, 5
set_[], 400, 5
set_[], 400, 5
set_=, 2100, 5
remove_end, 2300, 4
remove_end, 2100, 3
getIndexOf, 600, 3
remove_on_index, 8800, 2
set_=, 4000, 2
set_=, 2700, 2
set_[], 800, 2
remove_on_index, 6900, 1
set_[], 700, 1
add_on_index, 2700, 2
set_[], 700, 2
set_[], 500, 2
set_[], 400, 2
remove_begin, 2400, 1
getIndexOf, 500, 1
set_=, 2100, 1
set_=, 2000, 1
set_[], 400, 1
add_on_index, 2100, 2
add_end, 1400, 3
getIndexOf, 700, 3
add_begin, 1900, 4
set_=, 2300, 4
getIndexOf, 600, 4
add_on_index, 1900, 5
set_=, 2100, 5
add_end, 1200, 6
set_[], 500, 6
set_=, 3200, 6
set_[], 400, 6
set_[], 400, 6
getIndexOf, 500, 6
remove_begin, 2000, 5
set_[], 400, 5
remove_end, 2500, 4
remove_on_index, 6700, 3
set_=, 2200, 3
set_[], 400, 3
add_on_index, 3000, 4
set_=, 2200, 4
set_=, 3400, 4
set_=, 2200, 4
add_begin, 2100, 5
set_=, 3200, 5
set_[], 400, 5
set_[], 400, 5
set_=, 2400, 5
remove_end, 2600, 4
getIndexOf, 500, 4
add_begin, 1900, 5
add_begin, 1700, 6
set_[], 400, 6
add_begin, 1900, 7
set_[], 400, 7
add_begin, 3200, 8
set_[], 400, 8
set_=, 2200, 8
add_end, 1300, 9
set_=, 2200, 9
set_=, 3000, 9
add_on_index, 6300, 10
set_[], 1100, 10
set_=, 6300, 10
remove_end, 5500, 9
remove_begin, 4800, 8
getIndexOf, 1500, 8
add_end, 3400, 9
set_=, 6400, 9
remove_on_index, 8700, 8
remove_begin, 4600, 7
getIndexOf, 1600, 7
remove_end, 6000, 6
set_=, 5300, 6
remove_on_index, 8900, 5
set_=, 3600, 5
getIndexOf, 1000, 5
set_[], 700, 5
set_=, 3700, 5
set_=, 2700, 5
add_on_index, 5200, 6
remove_on_index, 8600, 5
remove_on_index, 11700, 4
set_[], 1100, 4
add_end, 2800, 5
remove_on_index, 9100, 4
set_[], 800, 4
set_[], 2800, 4
remove_begin, 3000, 3
set_[], 600, 3
set_=, 5400, 3
set_[], 800, 3
add_begin, 3500, 4
getIndexOf, 800, 4
getIndexOf, 800, 4
set_[], 800, 4
set_[], 800, 4
set_[], 800, 4
remove_end, 3600, 3
remove_end, 3000, 2
set_=, 2700, 2
set_[], 700, 2
remove_begin, 3200, 1
set_[], 1400, 1
remove_begin, 5700, 0
add_begin, 3700, 1
set_=, 3400, 1
add_end, 2000, 2
getIndexOf, 900, 2
remove_on_index, 7000, 1
set_[], 700, 1
set_[], 700, 1
remove_begin, 2600, 0
remove_begin, 500, 0
remove_begin, 400, 0
remove_begin, 600, 0
remove_begin, 600, 0
add_on_index, 3200, 1
set_=, 4100, 1
set_[], 800, 1
set_[], 900, 1
add_begin, 4500, 2
add_on_index, 4100, 3
getIndexOf, 900, 3
add_on_index, 3000, 4
add_end, 2300, 5
set_[], 1200, 5
set_[], 900, 5
add_begin, 3600, 6
set_[], 700, 6
set_=, 4600, 6
remove_begin, 2400, 5
set_[], 600, 5
set_=, 2600, 5
remove_on_index, 6400, 4
set_=, 2300, 4
getIndexOf, 800, 4
add_end, 1900, 5
remove_on_index, 8500, 4
add_on_index, 2300, 5
set_=, 3100, 5
remove_begin, 2300, 4
getIndexOf, 700, 4
set_=, 2700, 4
remove_end, 3000, 3
add_begin, 2300, 4
set_[], 800, 4
add_end, 3000, 5
set_[], 900, 5
remove_end, 4400, 4
set_=, 3300, 4
set_=, 3300, 4
remove_begin, 3200, 3
remove_begin, 4300, 2
getIndexOf, 1000, 2
remove_end, 3000, 1
add_begin, 2700, 2
add_on_index, 2700, 3
set_=, 2600, 3
set_=, 2800, 3
add_begin, 2400, 4
remove_end, 4500, 3
set_=, 2800, 3
set_[], 600, 3
set_=, 2500, 3
set_=, 4100, 3
set_[], 1000, 3
set_=, 3800, 3
remove_begin, 3200, 2
set_=, 2600, 2
set_[], 800, 2
getIndexOf, 700, 2
set_[], 500, 2
set_[], 600, 2
remove_on_index, 6400, 1
set_=, 2700, 1
remove_on_index, 4600, 0
remove_on_index, 300, 0
remove_end, 500, 0
add_on_index, 2600, 1
add_on_index, 2900, 2
add_end, 2700, 3
set_[], 700, 3
set_=, 4000, 3
set_[], 500, 3
remove_on_index, 7100, 2
getIndexOf, 600, 2
remove_begin, 2500, 1
remove_begin, 2800, 0
add_end, 2400, 1
set_[], 600, 1
set_[], 600, 1
set_[], 500, 1
set_=, 2900, 1
set_[], 600, 1
set_=, 2500, 1
set_[], 600, 1
set_=, 2600, 1
set_=, 2800, 1
add_on_index, 2300, 2
set_=, 2200, 2
set_=, 2200, 2
add_end, 2800, 3
remove_end, 2400, 2
add_on_index, 2000, 3
set_=, 2600, 3
set_[], 700, 3
remove_on_index, 7000, 2
set_=, 2800, 2
getIndexOf, 2500, 2
set_=, 2900, 2
remove_begin, 2300, 1
set_[], 600, 1
remove_end, 3600, 0
remove_end, 500, 0
remove_end, 600, 0
remove_end, 800, 0
add_on_index, 2500, 1
remove_begin, 2300, 0
remove_end, 700, 0
remove_end, 500, 0
add_begin, 2400, 1
set_[], 2000, 1
add_begin, 2300, 2
set_[], 700, 2
remove_begin, 2300, 1
remove_end, 3500, 0
remove_end, 2400, 0
remove_end, 400, 0
remove_end, 500, 0
remove_end, 500, 0
add_begin, 3900, 1
remove_begin, 4500, 0
remove_begin, 500, 0
remove_begin, 500, 0
add_begin, 3200, 1
add_on_index, 3000, 2
set_[], 700, 2
set_[], 800, 2
set_[], 700, 2
getIndexOf, 700, 2
set_=, 3500, 2
remove_end, 3100, 1
add_end, 1600, 2
set_=, 2600, 2
add_on_index, 2500, 3
set_=, 3000, 3
set_[], 700, 3
set_=, 2600, 3
set_[], 600, 3
getIndexOf, 800, 3
add_end, 1800, 4
add_end, 1700, 5
remove_on_index, 6800, 4
set_=, 3800, 4
add_begin, 2500, 5
getIndexOf, 700, 5
set_[], 700, 5
set_[], 600, 5
set_[], 600, 5
set_=, 2800, 5
set_[], 500, 5
add_end, 1500, 6
set_[], 700, 6
remove_begin, 2600, 5
set_[], 600, 5
set_[], 600, 5
remove_begin, 2400, 4
add_begin, 2800, 5
set_=, 2600, 5
set_[], 700, 5
add_end, 1700, 6
add_begin, 2700, 7
set_=, 3300, 7
remove_on_index, 7200, 6
add_end, 1600, 7
set_=, 2500, 7
set_[], 700, 7
set_[], 700, 7
remove_on_index, 8100, 6
set_[], 600, 6
set_[], 700, 6
set_[], 600, 6
getIndexOf, 700, 6
add_begin, 3900, 7
remove_begin, 2300, 6
getIndexOf, 800, 6
remove_end, 5000, 5
set_[], 800, 5
set_[], 800, 5
set_=, 3500, 5
add_on_index, 4700, 6
set_[], 800, 6
set_=, 3300, 6
remove_end, 3800, 5
remove_end, 3900, 4
set_=, 4700, 4
set_=, 3300, 4
set_[], 800, 4
add_on_index, 2900, 5
getIndexOf, 800, 5
remove_on_index, 7800, 4
set_=, 3100, 4
getIndexOf, 900, 4
getIndexOf, 2500, 4
remove_end, 4800, 3
set_=, 3200, 3
set_=, 3100, 3
set_[], 2000, 3
set_=, 3100, 3
set_=, 4000, 3
set_[], 800, 3
remove_begin, 4500, 2
add_begin, 3300, 3
getIndexOf, 900, 3
set_=, 4000, 3
add_begin, 3700, 4
set_[], 500, 4
remove_on_index, 7500, 3
getIndexOf, 700, 3
add_begin, 2600, 4
remove_begin, 3700, 3
set_[], 700, 3
remove_on_index, 7100, 2
add_begin, 2400, 3
set_=, 4000, 3
getIndexOf, 700, 3
set_[], 700, 3
set_[], 600, 3
remove_on_index, 8700, 2
set_[], 600, 2
set_=, 3000, 2
add_on_index, 3600, 3
set_=, 2800, 3
set_=, 2800, 3
set_[], 700, 3
add_end, 1900, 4
add_on_index, 2500, 5
add_end, 1800, 6
set_=, 2800, 6
set_=, 2600, 6
add_end, 1500, 7
set_[], 600, 7
set_[], 600, 7
add_on_index, 4200, 8
remove_begin, 5600, 7
add_begin, 3100, 8
set_[], 700, 8
add_on_index, 2800, 9
remove_on_index, 7800, 8
set_=, 2600, 8
set_[], 700, 8
set_=, 3800, 8
set_[], 700, 8
remove_end, 4200, 7
getIndexOf, 900, 7
set_[], 800, 7
getIndexOf, 900, 7
set_=, 4200, 7
remove_begin, 3200, 6
getIndexOf, 1000, 6
set_=, 3200, 6
remove_begin, 2500, 5
remove_end, 3000, 4
getIndexOf, 800, 4
getIndexOf, 1200, 4
remove_begin, 2800, 3
set_[], 600, 3
set_=, 2400, 3
set_[], 1000, 3
add_end, 1400, 4
set_[], 400, 4
add_on_index, 2400, 5
add_end, 1700, 6
set_=, 2500, 6
add_end, 1200, 7
set_[], 500, 7
remove_begin, 2300, 6
set_[], 400, 6
remove_begin, 1900, 5
add_end, 2600, 6
remove_end, 2300, 5
set_[], 400, 5
getIndexOf, 600, 5
set_[], 400, 5
add_begin, 2500, 6
set_=, 2100, 6
set_[], 400, 6
remove_on_index, 7100, 5
set_=, 2100, 5
add_end, 1100, 6
add_end, 1100, 7
set_[], 500, 7
set_[], 500, 7
set_[], 500, 7
set_=, 2100, 7
remove_on_index, 6700, 6
add_begin, 2200, 7
add_on_index, 2300, 8
set_=, 2100, 8
add_end, 1100, 9
remove_end, 2300, 8
getIndexOf, 500, 8
remove_end, 2200, 7
set_=, 2100, 7
getIndexOf, 600, 7
set_[], 400, 7
remove_end, 2200, 6
set_[], 400, 6
remove_end, 2100, 5
set_=, 2000, 5
set_=, 2000, 5
set_=, 2100, 5
set_[], 400, 5
set_=, 1600, 5
getIndexOf, 500, 5
set_[], 500, 5
set_[], 500, 5
add_on_index, 2200, 6
add_end, 1400, 7
getIndexOf, 600, 7
add_end, 1200, 8
remove_begin, 1700, 7
set_[], 500, 7
add_on_index, 1800, 8
set_=, 2200, 8
getIndexOf, 600, 8
set_[], 500, 8
remove_on_index, 8200, 7
remove_end, 2400, 6
remove_end, 2200, 5
set_=, 2300, 5
set_=, 2100, 5
add_on_index, 2500, 6
set_=, 2400, 6
add_end, 2300, 7
set_=, 6900, 7
remove_on_index, 56600, 6
set_=, 2300, 6
set_[], 500, 6
remove_begin, 1900, 5
set_=, 2200, 5
set_=, 2100, 5
add_end, 1300, 6
getIndexOf, 700, 6
add_begin, 3100, 7
set_[], 500, 7
set_[], 400, 7
remove_end, 2300, 6
remove_on_index, 8800, 5
remove_end, 2200, 4
set_=, 3300, 4
set_[], 400, 4
remove_begin, 2900, 3
add_end, 1400, 4
add_begin, 3400, 5
remove_end, 2400, 4
set_=, 1900, 4
add_begin, 1800, 5
remove_begin, 2700, 4
getIndexOf, 500, 4
set_=, 2000, 4
set_[], 400, 4
set_=, 2200, 4
remove_end, 2400, 3
getIndexOf, 1300, 3
set_=, 1800, 3
set_=, 1800, 3
set_=, 1800, 3
add_begin, 1800, 4
set_[], 400, 4
set_[], 400, 4
add_on_index, 2000, 5
remove_begin, 1900, 4
getIndexOf, 500, 4
add_end, 2500, 5
set_=, 2100, 5
remove_end, 2000, 4
set_=, 1900, 4
remove_on_index, 6400, 3
set_=, 3000, 3
set_=, 2400, 3
remove_end, 2900, 2
add_end, 1200, 3
set_[], 400, 3
set_=, 2300, 3
add_begin, 1800, 4
add_end, 1200, 5
remove_end, 4100, 4
set_=, 2000, 4
set_[], 400, 4
set_[], 400, 4
set_[], 400, 4
add_begin, 2300, 5
set_=, 2100, 5
add_begin, 1700, 6
set_[], 500, 6
getIndexOf, 500, 6
getIndexOf, 400, 6
add_begin, 1700, 7
remove_on_index, 6800, 6
set_[], 400, 6
getIndexOf, 400, 6
set_[], 400, 6
set_=, 2000, 6
add_end, 1100, 7
set_[], 500, 7
set_=, 3400, 7
set_[], 400, 7
set_[], 700, 7
set_=, 3000, 7
set_=, 2300, 7
set_=, 2300, 7
remove_on_index, 6800, 6
add_end, 1600, 7
set_=, 2200, 7
getIndexOf, 600, 7
