100, 2947170, 10000
200, 5885919, 20000
300, 8749874, 30000
400, 11620090, 40000
500, 15890232, 50000
600, 17622272, 60000
700, 20325116, 70000
800, 23237404, 80000
900, 26120769, 90000
1000, 29059844, 100000
1100, 31941358, 110000
1200, 34860686, 120000
1300, 37754139, 130000
1400, 40849566, 140000
1500, 43652383, 150000
1600, 46727503, 160000
1700, 49536048, 170000
1800, 52384985, 180000
1900, 55295768, 190000
2000, 58199428, 200000
100, 11639451, 20000
200, 23252178, 40000
300, 34779621, 60000
400, 46457014, 80000
500, 58034574, 100000
600, 69582947, 120000
700, 81428290, 140000
800, 92936750, 160000
900, 104550638, 180000
1000, 116191462, 200000
1100, 127691111, 220000
1200, 139422448, 240000
