100, 2942461, 10000
200, 11745461, 20000
300, 26283197, 30000
400, 46746760, 40000
500, 73053023, 50000
600, 105302106, 60000
700, 143085595, 70000
800, 186962145, 80000
900, 236656505, 90000
1000, 292221692, 100000
1100, 353283342, 110000
1200, 420744663, 120000
1300, 494010953, 130000
1400, 592212742, 140000
1500, 657977992, 150000
1600, 747596773, 160000
1700, 844853679, 170000
1800, 947288650, 180000
1900, 1054368287, 190000
2000, 1167602225, 200000
100, 5856646, 20000
200, 23362740, 40000
300, 52489821, 60000
400, 93345098, 80000
500, 145802692, 100000
600, 209982862, 120000
700, 285905019, 140000
800, 373992342, 160000
900, 472650410, 180000
1000, 583447108, 200000
