100, 3041530, 10000
200, 5937923, 20000
300, 8716172, 30000
400, 11583927, 40000
500, 14520368, 50000
600, 17426299, 60000
700, 20326964, 70000
800, 23239674, 80000
900, 26152010, 90000
1000, 29107651, 100000
1100, 31968179, 110000
1200, 34889917, 120000
1300, 38178552, 130000
1400, 40746677, 140000
1500, 43612798, 150000
1600, 46626257, 160000
1700, 49485616, 170000
1800, 52459408, 180000
1900, 55333908, 190000
2000, 58230620, 200000
100, 11604983, 20000
200, 23190769, 40000
300, 34906523, 60000
400, 46367826, 80000
500, 58035085, 100000
600, 69722936, 120000
700, 81246010, 140000
800, 93204445, 160000
900, 104799532, 180000
1000, 116453403, 200000
1100, 128032781, 220000
1200, 139675039, 240000
1300, 151402068, 260000
1400, 162896851, 280000
1500, 174737020, 300000
1600, 186335754, 320000
1700, 198262789, 340000
1800, 209942104, 360000
1900, 221942309, 380000
2000, 233421455, 400000
100, 26124809, 30000
200, 52136241, 60000
300, 78173205, 90000
400, 104419307, 120000
