100, 3093534, 10000
200, 11785161, 20000
300, 27551649, 30000
400, 47727134, 40000
500, 72624502, 50000
600, 107923132, 60000
700, 139886835, 70000
800, 198054549, 80000
900, 229122787, 90000
1000, 299310180, 100000
1100, 374014531, 110000
1200, 444337697, 120000
1300, 496738779, 130000
1400, 556172025, 140000
1500, 638513608, 150000
1600, 724834746, 160000
1700, 819346457, 170000
1800, 912757498, 180000
1900, 1015241695, 190000
2000, 1137692080, 200000
100, 5671891, 20000
200, 22654286, 40000
300, 50896771, 60000
400, 89998625, 80000
500, 140528073, 100000
600, 202673004, 120000
700, 277477728, 140000
800, 362618205, 160000
900, 454753253, 180000
1000, 566718059, 200000
1100, 680864458, 220000
1200, 810600024, 240000
1300, 956856162, 260000
1400, 1109923445, 280000
